p:(0.329524,0.142605),h:3,n:4,cr:1.08541;
p:(0.80214,0.868352),h:0,n:0,cr:0;
p:(0.770101,0.833),h:0,n:0,cr:0;
p:(0.797604,0.961492),h:0,n:0,cr:0;
p:(0.809878,0.93465),h:0,n:0,cr:0;
p:(0.836555,0.813051),h:0,n:0,cr:0;
p:(0.81874,0.800828),h:0,n:0,cr:0;
p:(0.841949,0.780552),h:0,n:0,cr:0;
p:(0.854795,0.838557),h:0,n:0,cr:0;
p:(0.769961,0.806119),h:0,n:0,cr:0;
p:(0.772616,0.780849),h:0,n:0,cr:0;
p:(0.698222,0.975783),h:0,n:0,cr:0;
p:(0.692837,0.896402),h:0,n:0,cr:0;
p:(0.727698,0.967417),h:0,n:0,cr:0;
p:(0.729946,0.889085),h:0,n:0,cr:0;
p:(0.727933,0.923054),h:0,n:0,cr:0;
p:(0.711947,0.872562),h:0,n:0,cr:0;
p:(0.698207,0.860025),h:0,n:0,cr:0;
p:(0.736371,0.867048),h:0,n:0,cr:0;
p:(0.71836,0.864307),h:0,n:0,cr:0;
p:(0.702962,0.804855),h:0,n:0,cr:0;
p:(0.706247,0.811217),h:0,n:0,cr:0;
p:(0.739829,0.790049),h:0,n:0,cr:0;
p:(0.761697,0.877016),h:0,n:0,cr:0;
p:(0.750987,0.869628),h:0,n:0,cr:0;
p:(0.746993,0.873037),h:0,n:0,cr:0;
p:(0.751589,0.86329),h:0,n:0,cr:0;
p:(0.741012,0.865146),h:0,n:0,cr:0;
p:(0.749809,0.788399),h:0,n:0,cr:0;
p:(0.755669,0.792775),h:0,n:0,cr:0;
p:(0.751128,0.805939),h:0,n:0,cr:0;
p:(0.750308,0.992519),h:0,n:0,cr:0;
p:(0.954772,0.121296),h:0,n:0,cr:0;
p:(0.993982,0.278805),h:0,n:0,cr:0;
p:(0.996295,0.246452),h:0,n:0,cr:0;
p:(0.990009,0.285718),h:0,n:0,cr:0;
p:(0.973531,0.240791),h:0,n:0,cr:0;
p:(0.914194,0.199929),h:0,n:0,cr:0;
p:(0.980925,0.114505),h:0,n:0,cr:0;
p:(0.959427,0.119026),h:0,n:0,cr:0;
p:(0.915487,0.24524),h:0,n:0,cr:0;
p:(0.917541,0.231228),h:0,n:0,cr:0;
p:(0.984413,0.0881094),h:0,n:0,cr:0;
p:(0.969705,0.133521),h:0,n:0,cr:0;
p:(0.922057,0.185404),h:0,n:0,cr:0;
p:(0.944663,0.274307),h:0,n:0,cr:0;
p:(0.927067,0.146215),h:0,n:0,cr:0;
p:(0.926821,0.163978),h:0,n:0,cr:0;
p:(0.934581,0.184698),h:0,n:0,cr:0;
p:(0.959573,0.186092),h:0,n:0,cr:0;
p:(0.969084,0.106703),h:0,n:0,cr:0;
p:(0.968319,0.123841),h:0,n:0,cr:0;
p:(0.955916,0.195837),h:0,n:0,cr:0;
p:(0.998481,0.32584),h:0,n:0,cr:0;
p:(0.960847,0.309995),h:0,n:0,cr:0;
p:(0.998363,0.336952),h:0,n:0,cr:0;
p:(0.997807,0.323059),h:0,n:0,cr:0;
p:(0.855439,0.431955),h:0,n:0,cr:0;
p:(0.838508,0.424565),h:0,n:0,cr:0;
p:(0.817032,0.35872),h:0,n:0,cr:0;
p:(0.889765,0.348397),h:0,n:0,cr:0;
p:(0.848176,0.407436),h:0,n:0,cr:0;
p:(0.761763,0.405802),h:0,n:0,cr:0;
p:(0.830465,0.354946),h:0,n:0,cr:0;
p:(0.782115,0.355742),h:0,n:0,cr:0;
p:(0.816996,0.360263),h:0,n:0,cr:0;
p:(0.805404,0.418627),h:0,n:0,cr:0;
p:(0.81142,0.336645),h:0,n:0,cr:0;
p:(0.863449,0.357652),h:0,n:0,cr:0;
p:(0.744877,0.352697),h:0,n:0,cr:0;
